id,name,unique_name,ipl_debut,specialization,date_of_birth,matches,nationality
4d7f517e,Dewald Brevis,AJ Hosein,2022,Batter,29 April 2003,10,South African
a7c7802a,AJ Ireland,AJ Ireland,,,,,
ca753f5d,AJ Kenealy,AJ Kenealy,,,,,
a9789d58,,AJL Baum,,,,,
de3acffe,AJ McKay,AJ McKay,,,,,
b68d14a9,AJ Strauss,AJ Strauss,,,,,
ff1e12a0,Ashton Turner,AJ Turner,2019,Batting Allrounder,25 January 1993,6,Australian
7c7d63a2,Andrew Tye,AJ Tye,2017,Bowler,12 December 1986,30,Australian
822ddd34,A Keefe,A Keefe,,,,,
0d518f89,Ayabonga Khaka,A Khaka,,N/A,18 July 1992,0,South African
63a1874a,AK Kitchen,AK Kitchen,,,,,
6a26221c,Aiden Markram,AK Markram,2021,Batter,04 October 1994,44,South African
094a7be4,,AK Patel,,,,,
c8ad0749,AK Perera,AK Perera,,,,,
badd245f,AK Peters,AK Peters,,,,,
5b1d6583,,AK Sah,,,,,
cb932841,Ankush Bains,AKS Bains,,Wicketkeeper Batter,16 December 1995,0,Indian
ec256d9d,AKV Tyrone,AKV Tyrone,,,,,
3f5f39cd,Al-Amin Hossain,Al-Amin Hossain,,,,,
29ede60b,,AL Davies,,,,,
1066a976,AL Hughes,AL Hughes,,,,,
692c7070,Ali Khan,Ali Shamsher Khan,,,,,
4b55733f,Ali Waqas,Ali Waqas,,,,,
2904b4b6,Aliya Riaz,Aliya Riaz,,,,,
8291f939,Ashok Menaria,AL Menaria,2011,All-rounder,29 October 1990,29,Indian
ab6b1c45,AL Phehlukwayo,AL Phehlukwayo,,,,,
70b8fd28,A Lyth,A Lyth,,,,,
c6a1b1bb,Amad Butt,Amad Butt,,,,,
6b950e3a,Ameer Hamza,Ameer Hamza,,,,,
de3d549a,AM Fernando,AM Fernando,,,,,
26534b48,AM Guruge,AM Guruge,,,,,
f8ce577b,Aminul Islam,Aminul Islam Biplob,,,,,
3748955d,Amir Ali,Amir Ali,,,,,
dca1ac2e,,Amir Hamza,,,,,
5faa30f7,Amir Hayat,Amir Hayat,,,,,
6b19d823,Amit Mishra,A Mishra,2008,Bowler,24 November 1982,162,Indian
66cf56a5,Abhimanyu Mithun,A Mithun,2009,Bowler,25 October 1989,16,Indian
e4271302,Amjad Ali,Amjad Ali,,,,,
18eaf2fa,Amjad Javed,Amjad Javed,,,,,
88a004e9,AM Lilley,AM Lilley,,,,,
a172b05d,Ammar Mahmood,Ammar Mahmood,,,,,
7f148ce7,AM McCarthy,AM McCarthy,,,,,
a45a5e8d,Abhishek Nayar,AM Nayar,2008,All-rounder,08 October 1983,60,Indian
a49985e6,A Mohammed,A Mohammed,,,,,
ae2c396f,AM Peterson,AM Peterson,,,,,
7f8ecc51,AM Phangiso,AM Phangiso,,,,,
29e95537,Ajinkya Rahane,AM Rahane,2008,Batter,06 June 1988,185,Indian
7bcde3fe,AM Rossington,AM Rossington,,,,,
513158ed,AM Samad,AM Samad,,,,,
6165bca6,Abhinav Mukund,A Mukund,2008,Batter,06 January 1990,3,Indian
2af1b6d2,Abu Nechim,AN Ahmed,2012,Bowler,05 November 1988,17,Indian
06653fcc,Anam Amin,Anam Amin,,,,,
72b245dd,Anamul Haque,Anamul Haque,,,,,
d2340a43,Anand Rajan,Anand Rajan,2011,Bowler,17 April 1987,8,Indian
4d1ec7eb,A Nao,A Nao,,,,,
f41598c1,AN Cook,AN Cook,,,,,
